"bigram","tf_idf","Class"
"brca1 brct",0.000465353973459749,1
"pp2a holoenzym",0.000427036573546892,1
"mutant p53",0.000414790991764767,1
"type p53",0.000342409581206527,1
"ma mel",0.000339043362746444,1
"ago hook",0.000328582596901711,1
"core enzym",0.000295965942062203,1
"egfp p53",0.0002902541959122,1
"tsc2 null",0.000282677675275736,1
"hla class",0.000279991167965753,1
"delet polymorph",0.0002753693653526,1
"s6k ratio",0.000273303480832814,1
"1p 19q",0.000262138404855178,1
"brct domain",0.000251748563289609,1
"pp2a core",0.000233752693016474,1
"type smad3",0.000213820292836775,1
"pdgf rβ",0.000207780171570199,1
"mtβr ii",0.000205906822741133,1
"author manuscript",0.000205599265738166,1
"b2m gene",0.000205364123063569,1
"kit exon",0.00108014082019595,2
"braf delet",0.000500880029621729,2
"abl kd",0.000469769468775658,2
"pf 03084014",0.000363581762758805,2
"braf fusion",0.000355596108562538,2
"primari kit",0.000329771944968343,2
"secondari kit",0.000318134042413955,2
"cyclin d1",0.000316225357672133,2
"fig ro",0.000314216664545308,2
"uncommon egfr",0.000303742264304752,2
"pd 184352",0.000295550328037666,2
"met y1003f",0.000293476290647928,2
"ov 90",0.000283106103699238,2
"hyper ig",0.000277231094103589,2
"resist bcc",0.000265111702011629,2
"ig syndrom",0.000263596778000134,2
"nup98 nsd1",0.000255106598937775,2
"cd2 gata3",0.000254507233931164,2
"ros1 rearrang",0.000246932613873689,2
"bxpc 3",0.000246175151867941,2
"vu neutral",0.00125318012392069,3
"brca1 variant",0.00122188758433367,3
"y572c v592g",0.00113315144771197,3
"s451f y572c",0.000971272669467405,3
"asd dd",0.000929028068154501,3
"flt3 s451f",0.000917313076719216,3
"ssa assai",0.000897713327265551,3
"hdr assai",0.000894698309626071,3
"jm domain",0.000847840364639687,3
"human alk",0.000843684284420865,3
"alk mutant",0.000747088150798874,3
"ph kd",0.00072633103510261,3
"hmg domain",0.000686917723120298,3
"alk tkd",0.000675656776839637,3
"human brca1",0.000539228947552413,3
"pten catalyt",0.00053489494833138,3
"hnf 1α",0.000524178900982409,3
"tmprss2 met160val",0.000472959743787746,3
"chek2 s428f",0.000462510794984478,3
"rad51c 17",0.000450437851226425,3
"asd dd",0.00104498051112252,4
"cul3 spop",0.000624284389472959,4
"δ1 8",0.000609044196886559,4
"pten catalyt",0.000602183213732724,4
"p16 δ1",0.000555211867525702,4
"p16ink4a variant",0.000526017402241104,4
"src 3",0.000503490609904486,4
"nf1 null",0.00042486020950243,4
"1,3,4,5 p4",0.000385798360419475,4
"caspas 8l",0.000384215056614744,4
"math domain",0.000360465499543778,4
"pole exo",0.000343934455311491,4
"brca1 brct",0.000342796961592977,4
"tuberin hamartin",0.000334541287414329,4
"0.00 deleteri",0.000333818736037624,4
"p110α caax",0.000330910495188798,4
"spop wt",0.000308529437852955,4
"ti loop",0.000304522098443279,4
"relat pten",0.000302938794638548,4
"6 pten",0.000300827722898907,4
"vu neutral",0.00192196807578645,5
"brca1 brct",0.00126639799325605,5
"brca1 variant",0.000974896703983814,5
"human brca1",0.000959038726075629,5
"brct domain",0.00073234594141539,5
"author manuscript",0.000699492262044683,5
"classifi ed",0.000628335717084033,5
"vu deleteri",0.000591374792549678,5
"missens variant",0.000522331915058336,5
"brca1 defi",0.000480492018946613,5
"nih pa",0.000471595853245345,5
"pa author",0.000471595853245345,5
"brca1 cdna",0.000464929524405832,5
"brca1 vuss",0.000443531094412258,5
"t529n v600ebraf",0.00041449452652083,5
"brct repeat",0.000410460793513099,5
"13 0094",0.000406570169877904,5
"2013 american",0.000406570169877904,5
"cd 13",0.000406570169877904,5
"mtβr ii",0.000388270400335421,5
"e2 interact",0.00134785665823613,6
"fedratinib bind",0.000898571105490751,6
"myc nick",0.000788650536380673,6
"brca1 e2",0.000763785439667138,6
"cyt 387",0.000763785439667138,6
"ruxolitinib resist",0.000718856884392601,6
"brca vu",0.000641836503921965,6
"mutlα ctd",0.000628999773843526,6
"p53lsl r270h",0.000628999773843526,6
"r270h wapcr",0.000584071218568988,6
"p53flex7 flex7",0.000539142663294451,6
"brca 50",0.000501007030355599,6
